Phrases;Type (Maxime)
L'idee etait de stimuler chez les eleves l'esprit scientifique et les capacites d'expression, de favoriser leur comprehension du monde, et de leur permettre de mieux jouer leur rôle de citoyen en proposant des projets pedagogiques orientes vers des questions de societe (education a la sante, au developpement durable ...) avec pour objectif que chacun de ces projets touche en moyenne 10'000 classes.;C2
Un enseignement fonde sur l'experimentation et la pratique, des objectifs d'apprentissage transversaux, des actions tournees en priorite vers la formation continue des enseignants, menees en collaboration avec la communaute scientifique et professionnelle : le travail de defrichage realise par la fondation dans le domaine des sciences pourrait s'appliquer parfaitement a la problematique de l'enseignement de la culture informatique.;C2
"Du fait de la progression demographique et du developpement des classes moyennes dans le monde, les systemes educatifs vont devoir former, d'ici a 2050, autant d'etudiants que durant toute l'histoire de l'humanite reunie car d'ici la, ""l'infosphere"" continuera son expansion vertigineuse ; la masse de connaissances double deja tous les deux ans.";C2
"Pour de multiples raisons, l'education s'est focalisee sur la specialisation ; or la grande majorite des jeunes n'auront pas ""un"" mais ""des"" emplois tout au long de leur vie, surtout si l'on considere l'acceleration des technologies et le fait que les enfants qui terminent leurs etudes maintenant ne seront a la retraite qu'apres 2070.";C2
Le pere de l’enfant s’en etait alle six mois auparavant, victime de la fievre : Guido Volkbein, Juif d’ascendance italienne, avait ete a la fois un gourmet et un dandy, qui n’apparaissait jamais en public sans que le ruban de quelque distinction parfaitement inconnue ne teintat sa boutonniere d’un filet discret.;C2
Petit, replet et hautainement timide, il avait un ventre legerement proeminent, dont le surplomb offrait une pente ascendante qui mettait en evidence les boutons de son gilet et de son pantalon, marquant le milieu exact de son corps de cette ligne obstetrique que l’on voit sur les fruits : l’arc qui est l’inevitable rancon de pesantes tournees de bourgogne, de schlagsahne et de biere.;C2
Il avait marche brûlant, imprudent et damne, ses paupieres fremissant sur ses epaisses prunelles, noires de la douleur d’une participation qui devait, quatre siecles plus tard, faire de lui une victime lorsqu’il sentit dans sa propre gorge l’echo du cri qui avait couru jadis sur la Piazza Montanara : « Roba Vecchia ! » – la degradation au prix de laquelle les siens avaient survecu.;C2
Sans enfants a cinquante-neuf ans, Guido avait, de son propre cœur, prepare pour son enfant a venir un cœur modele sur sa propre preoccupation : l’hommage sans remords a la noblesse, la genuflexion que fait par contraction musculaire le corps pourchasse en s’affalant devant ce qui est imminent et inaccessible comme devant une grande chaleur.;C2
"Il avait adopte le signe de la croix ; il s’etait dit un Autrichien d’une lignee ancienne presque eteinte, exhibant, pour etayer son histoire, les preuves les plus stupefiantes et les plus inadequates : des armes auxquelles il n’avait aucun droit et une liste d’ancêtres (prenoms chretiens compris) qui n’avaient jamais existe.";C2
C’est alors qu’on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serre l’exquis mouchoir de lin jaune et noir qui evoquait a grands cris l’ordonnance de 1468 promulguee par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l’amusement de la populace chretienne, cependant que les dames de noble naissance, assises sur des colonnes vertebrales trop raffinees pour se detendre, se levaient de leurs sieges et, en compagnie des cardinaux a robe rouge et des monsignori, applaudissaient avec l’abandon froid mais hysterique d’un peuple qui est tout ensemble injuste et heureux – le pape lui-même etant precipite de sa prise sur le ciel par le rire d’un homme qui renonce a ses anges pour recuperer la bête.;C2
Confronte avec rien de pire qu’un general en cuir crissant et ces mouvements legerement percutants qui sont communs aux personnages militaires, lesquels semblent aspirer l’air au- dedans, sentent la poudre a canon et la chair de cheval, et, bien que lethargiques, ont l’air prêts a participer a une guerre encore indeterminee (type d’hommes pour lequel Hedwige s’etait senti beaucoup d’inclination), Guido avait ete secoue d’un tremblement invisible.;C2
Tôt dans l’annee 1880, en depit d’un doute bien fonde sur la judiciosite de perpetuer cette race qui a la sanction du Seigneur et la desapprobation des hommes, Hedwige Volkbein – femme viennoise de grande force et militairement belle, etendue sur un lit a baldaquin d’un riche cramoisi spectaculaire au lambrequin marque des ailes bifurquees de la Maison de Habsbourg, l’enveloppe de satin du couvrelit de plumes portant en fils d’or massif et terni les armes des Volkbein – donna naissance, a l’age de quarante-cinq ans, a un enfant unique, un fils, sept jours apres que son medecin lui eut predit qu’elle entrerait en travail.;C2
Il n'etait pas populaire, bien que le credit posthume confere a son pere suscitat chez ses accointances le regard particulier, semi-circulaire, de ceux qui, ne voulant pas congratuler sur un pied d'egalite terrestre, accordent neanmoins a la branche en vie (a cause de la mort et de sa sanction) une legere inclinaison de tête, en pardon reminiscent d'une crainte future - salut qui nous est tres habituel en presence de ce peuple.;C2
Les longues salles rococo, etourdissantes de peluche et de volutes d'or, etaient peuplees de fragments romains, blancs et dissocies : une jambe de coureur, la tête glacee a demi detournee d'une matrone frappee au sein, dont les prunelles aveugles et hardies recevaient une pupille de toute ombre fugitive, en sorte que ce qu'elles regardaient etait un acte de soleil.;C2
"D’abord, ils furent seduits par un arrangement complique : en haut, des parapluies, poses obliquement, semblaient mettre un toit de cabane rustique ; dessous, des bas de soie, pendus a des tringles, montraient des profils arrondis de mollets, les uns semes de bouquets de roses, les autres de toutes nuances, les noirs a jour, les rouges a coins brodes, les chairs dont le grain satine avait la douceur d’une peau de blonde ; enfin, sur le drap de l’etagere, des gants etaient jetes symetriquement, avec leurs doigts allonges, leur paume etroite de vierge byzantine, cette grace raidie et comme adolescente des chiffons de femme qui n’ont pas ete portes.";C2
"Une exposition de soies, de satins et de velours, y epanouissait, dans une gamme souple et vibrante, les tons les plus delicats des fleurs : au sommet, les velours, d’un noir profond, d’un blanc de lait caille ; plus bas, les satins, les roses, les bleus, aux cassures vives, se decolorant en paleurs d’une tendresse infinie ; plus bas encore, les soies, toute l’echarpe de l’arc-en-ciel, des pieces retroussees en coques, plissees comme autour d’une taille qui se cambre, devenues vivantes sous les doigts savants des commis ; et, entre chaque motif, entre chaque phrase coloree de l’etalage, courait un accompagnement discret, un leger cordon bouillonne de foulard creme.";C2
"Au fond, une grande echarpe en dentelle de Bruges, d’un prix considerable, elargissait un voile d’autel, deux ailes deployees, d’une blancheur rousse ; des volants de point d’alencon se trouvaient jetes en guirlandes ; puis, c’etait, a pleines mains, un ruissellement de toutes les dentelles, les marines, les valenciennes, les applications de Bruxelles, les points de Venise, comme une tombee de neige.";C2
"La gorge ronde des mannequins gonflait l’etoffe, les hanches fortes exageraient la finesse de la taille, la tête absente etait remplacee par une grande etiquette, piquee avec une epingle dans le molleton rouge du col ; tandis que les glaces, aux deux côtes de la vitrine, par un jeu calcule, les refletaient et les multipliaient sans fin, peuplaient la rue de ces belles femmes a vendre, et qui portaient des prix en gros chiffres, a la place des têtes.";C2
"Lorsque leur pere etait mort, emporte par la même fievre qui avait pris leur mere, un mois auparavant, l’oncle Baudu, dans l’emotion de ce double deuil, avait bien ecrit a sa niece qu’il y aurait toujours chez lui une place pour elle, le jour ou elle voudrait tenter la fortune a Paris ; mais cette lettre remontait deja a pres d’une annee, et la jeune fille se repentait maintenant d’avoir ainsi quitte Valognes, en un coup de tête, sans avertir son oncle.";C2
"Ce qu’elle gagnait chez Cornaille ne suffisait point a les nourrir tous les trois. Jean travaillait bien chez un ebeniste, un reparateur de meubles anciens ; mais il ne touchait pas un sou. Pourtant, il prenait goût aux vieilleries, il taillait des figures dans du bois ; même, un jour, ayant decouvert un morceau d’ivoire, il s’etait amuse a faire une tête, qu’un monsieur de passage avait vue ; et justement, c’etait ce monsieur qui les avait decides a quitter Valognes, en trouvant a Paris une place pour Jean, chez un ivoirier.";C2
"Ce qu’elle taisait, c’etait l’escapade amoureuse de Jean, des lettres ecrites a une fillette noble de la ville, des baisers echanges pardessus un mur, tout un scandale qui l’avait determinee au depart ; et elle accompagnait surtout son frere a Paris pour veiller sur lui, prise de terreurs maternelles, devant ce grand enfant si beau et si gai, que toutes les femmes adoraient.";C2
"Le fondateur, Aristide Finet, avait donne sa fille Desiree a son premier commis Hauchecorne ; lui, Baudu, debarque rue de la Michodiere avec sept francs dans sa poche, avait epouse la fille du pere Hauchecorne, elisabeth ; et il entendait a son tour ceder sa fille Genevieve et la maison a Colomban, des que les affaires reprendraient. S’il retardait ainsi un mariage decide depuis trois ans, c’etait par un scrupule, un entêtement de probite : il avait recu la maison prospere, il ne voulait point la passer aux mains d’un gendre, avec une clientele moindre et des operations douteuses.";C2
"Et les etoffes vivaient, dans cette passion du trottoir : les dentelles avaient un frisson, retombaient et cachaient les profondeurs du magasin, d’un air troublant de mystere ; les pieces de drap elles-mêmes, epaisses et carrees, respiraient, soufflaient une haleine tentatrice ; tandis que les paletots se cambraient davantage sur les mannequins qui prenaient une ame, et que le grand manteau de velours se gonflait, souple et tiede, comme sur des epaules de chair, avec les battements de la gorge et le fremissement des reins.";C2
"Un garcon tombe du Midi a Paris, avec l’audace aimable d’un aventurier et, des le lendemain, des histoires de femme, une continuelle exploitation de la femme, le scandale d’un flagrant delit, dont le quartier parlait encore ; puis, la conquête brusque et inexplicable de Mme Hedouin, qui lui avait apporte le Bonheur des dames.";C2
"Je me demandais quelle heure il pouvait être ; j’entendais le sifflement des trains qui, plus ou moins eloigne, comme le chant d’un oiseau dans une forêt, relevant les distances, me decrivait l’etendue de la campagne deserte ou le voyageur se hate vers la station prochaine ; et le petit chemin qu’il suit va être grave dans son souvenir par l’excitation qu’il doit a des lieux nouveaux, a des actes inaccoutumes, a la causerie recente et aux adieux sous la lampe etrangere qui le suivent encore dans le silence de la nuit, a la douceur prochaine du retour.";C2
"Mais il suffisait que, dans mon lit même, mon sommeil fût profond et detendît entierement mon esprit ; alors celui-ci lachait le plan du lieu ou je m’etais endormi, et quand je m’eveillais au milieu de la nuit, comme j’ignorais ou je me trouvais, je ne savais même pas au premier instant qui j’etais ; j’avais seulement dans sa simplicite premiere le sentiment de l’existence comme il peut fremir au fond d’un animal ; j’etais plus denue que l’homme des cavernes ; mais alors le souvenir – non encore du lieu ou j’etais, mais de quelques-uns de ceux que j’avais habites et ou j’aurais pu être – venait a moi comme un secours d’en haut pour me tirer du neant d’ou je n’aurais pu sortir tout seul ; je passais en une seconde par-dessus des siecles de civilisation, et l’image confusement entrevue de lampes a petrole, puis de chemises a col rabattu, recomposait peu a peu les traits originaux de mon moi";C2
Toujours est-il que, quand je me reveillais ainsi, mon esprit s’agitant pour chercher, sans y reussir, a savoir ou j’etais, tout tournait autour de moi dans l’obscurite, les choses, les pays, les annees. Mon corps, trop engourdi pour remuer, cherchait, d’apres la forme de sa fatigue, a reperer la position de ses membres pour en induire la direction du mur, la place des meubles, pour reconstruire et pour nommer la demeure ou il se trouvait.;C2
"Mon côte ankylose, cherchant a deviner son orientation, s’imaginait, par exemple, allonge face au mur dans un grand lit a baldaquin, et aussitôt je me disais : « Tiens, j’ai fini par m’endormir quoique maman ne soit pas venue me dire bonsoir », j’etais a la campagne chez mon grand-pere, mort depuis bien des annees ; et mon corps, le côte sur lequel je me reposais, gardiens fideles d’un passe que mon esprit n’aurait jamais dû oublier, me rappelaient la flamme de la veilleuse de verre de Bohême, en forme d’urne, suspendue au plafond par des chaînettes, la cheminee en marbre de Sienne, dans ma chambre a coucher de Combray, chez mes grands-parents, en des jours lointains qu’en ce moment je me figurais actuels sans me les representer exactement, et que je reverrais mieux tout a l’heure quand je serais tout a fait eveille.";C2
"Mais j’avais beau savoir que je n’etais pas dans les demeures dont l’ignorance du reveil m’avait en un instant sinon presente l’image distincte, du moins fait croire la presence possible, le branle etait donne a ma memoire ; generalement je ne cherchais pas a me rendormir tout de suite ; je passais la plus grande partie de la nuit a me rappeler notre vie d’autrefois, a Combray chez ma grand’tante, a Balbec, a Paris, a Doncieres, a Venise, ailleurs encore, a me rappeler les lieux, les personnes que j’y avais connues, ce que j’avais vu d’elles, ce qu’on m’en avait raconte.";C2
Le corps de Golo lui-même, d’une essence aussi surnaturelle que celui de sa monture, s’arrangeait de tout obstacle materiel, de tout objet gênant qu’il rencontrait en le prenant comme ossature et en se le rendant interieur, fût-ce le bouton de la porte sur lequel s’adaptait aussitôt et surnageait invinciblement sa robe rouge ou sa figure pale toujours aussi noble et aussi melancolique, mais qui ne laissait paraître aucun trouble de cette transvertebration.;C2
Et des qu’on sonnait le dîner, j’avais hate de courir a la salle a manger, ou la grosse lampe de la suspension, ignorante de Golo et de Barbe-Bleue, et qui connaissait mes parents et le bœuf a la casserole, donnait sa lumiere de tous les soirs, et de tomber dans les bras de maman que les malheurs de Genevieve de Brabant me rendaient plus chere, tandis que les crimes de Golo me faisaient examiner ma propre conscience avec plus de scrupules.;C2
Elle disait : « Enfin, on respire ! » et parcourait les allees detrempees – trop symetriquement alignees a son gre par le nouveau jardinier depourvu du sentiment de la nature et auquel mon pere avait demande depuis le matin si le temps s’arrangerait – de son petit pas enthousiaste et saccade, regle sur les mouvements divers qu’excitaient dans son ame l’ivresse de l’orage, la puissance de l’hygiene, la stupidite de mon education et la symetrie des jardins, plutôt que sur le desir inconnu d’elle d’eviter a sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu’a une hauteur qui etait toujours pour sa femme de chambre un desespoir et un probleme.;C2
"Mais des que j’entendais : « Bathilde, viens donc empêcher ton mari de boire du cognac ! » deja homme par la lachete, je faisais ce que nous faisons tous, une fois que nous sommes grands, quand il y a devant nous des souffrances et des injustices : je ne voulais pas les voir ; je montais sangloter tout en haut de la maison a côte de la salle d’etudes, sous les toits, dans une petite piece sentant l’iris, et que parfumait aussi un cassis sauvage pousse au dehors entre les pierres de la muraille et qui passait une branche de fleurs par la fenêtre entr’ouverte.";C2
Quelquefois quand, apres m’avoir embrasse, elle ouvrait la porte pour partir, je voulais la rappeler, lui dire « embrasse-moi une fois encore », mais je savais qu’aussitôt elle aurait son visage fache, car la concession qu’elle faisait a ma tristesse et a mon agitation en montant m’embrasser, en m’apportant ce baiser de paix, agacait mon pere qui trouvait ces rites absurdes, et elle eût voulu tacher de m’en faire perdre le besoin, l’habitude, bien loin de me laisser prendre celle de lui demander, quand elle etait deja sur le pas de la porte, un baiser de plus.;C2
"Ovoïde et renflee de baleines, elle commencait par trois boudins circulaires ; puis s’alternaient, separes par une bande rouge, des losanges de velours et de poils de lapin ; venait ensuite une facon de sac qui se terminait par un polygone cartonne, couvert d’une broderie en soutache compliquee, et d’ou pendait, au bout d’un long cordon trop mince, un petit croisillon de fils d’or, en maniere de gland.";C2
Mais, comme il ne s’entendait guere plus en culture qu’en indienne, qu’il montait ses chevaux au lieu de les envoyer au labour, buvait son cidre en bouteilles au lieu de le vendre en barriques, mangeait les plus belles volailles de sa cour et graissait ses souliers de chasse avec le lard de ses cochons, il ne tarda point a s’apercevoir qu’il valait mieux planter la toute speculation.;C2
"Moyennant deux cents francs par an, il trouva donc a louer dans un village, sur les confins du pays de Caux et de la Picardie, une sorte de logis moitie ferme, moitie maison de maître ; et, chagrin, ronge de regrets, accusant le ciel, jaloux contre tout le monde, il s’enferma des l’age de quarante-cinq ans, degoûte des hommes, disait-il, et decide a vivre en paix.";C2
"Elle allait chez les avoues, chez le president, se rappelait l’echeance des billets, obtenait des retards ; et, a la maison, repassait, cousait, blanchissait, surveillait les ouvriers, soldait les memoires, tandis que, sans s’inquieter de rien, Monsieur, continuellement engourdi dans une somnolence boudeuse dont il ne se reveillait que pour lui dire des choses desobligeantes, restait a fumer au coin du feu, en crachant dans les cendres.";C2
La pelle, les pincettes et le bec du soufflet, tous de proportion colossale, brillaient comme de l’acier poli, tandis que le long des murs s’etendait une abondante batterie de cuisine, ou miroitait inegalement la flamme claire du foyer, jointe aux premieres lueurs du soleil arrivant par les carreaux.;C2
"Ses cheveux, dont les deux bandeaux noirs semblaient chacun d’un seul morceau, tant ils etaient lisses, etaient separes sur le milieu de la tête par une raie fine, qui s’enfoncait legerement selon la courbe du crane ; et, laissant voir a peine le bout de l’oreille, ils allaient se confondre par derriere en un chignon abondant, avec un mouvement onde vers les tempes, que le medecin de campagne remarqua la pour la premiere fois de sa vie.";C2
Les convies arriverent de bonne heure dans des voitures, carrioles a un cheval, chars a bancs a deux roues, vieux cabriolets sans capote, tapissieres a rideaux de cuir, et les jeunes gens des villages les plus voisins dans des charrettes ou ils se tenaient debout, en rang, les mains appuyees sur les ridelles pour ne pas tomber, allant au trot et secoues dur.;C2
Les gamins, vêtus pareillement a leurs papas, semblaient incommodes par leurs habits neufs (beaucoup même etrennerent ce jour-la la premiere paire de bottes de leur existence), et l’on voyait a côte d’eux, ne soufflant mot dans la robe blanche de sa premiere communion rallongee pour la circonstance, quelque grande fillette de quatorze ou seize ans, leur cousine ou leur sœur aînee sans doute, rougeaude, ahurie, les cheveux gras de pommade a la rose, et ayant bien peur de salir ses gants.;C2
"Suivant leur position sociale differente, ils avaient des habits, des redingotes, des vestes, des habitsvestes : – bons habits, entoures de toute la consideration d’une famille, et qui ne sortaient de l’armoire que pour les solennites ; redingotes a grandes basques flottant au vent, a collet cylindrique, a poches larges comme des sacs ; vestes de gros drap, qui accompagnaient ordinairement quelque casquette cerclee de cuivre a sa visiere ; habits-vestes tres courts, ayant dans le dos deux boutons rapproches comme une paire d’yeux, et dont les pans semblaient avoir ete coupes a même un seul bloc, par la hache du charpentier.";C2
"Tout le monde etait tondu a neuf, les oreilles s’ecartaient des têtes, on etait rase de pres ; quelques-uns même qui s’etaient leves des avant l’aube, n’ayant pas vu clair a se faire la barbe, avaient des balafres en diagonale sous le nez, ou, le long des machoires, des pelures d’epiderme larges comme des ecus de trois francs, et qu’avait enflammees le grand air pendant la route, ce qui marbrait un peu de plaques roses toutes ces grosses faces blanches epanouies.";C2
"Mon côte ankylose, cherchant a deviner son orientation, s'imaginait, par exemple, allonge face au mur dans un grand lit a baldaquin, et aussitôt je me disais : ""Tiens, j'ai fini par m'endormir quoique maman ne soit pas venue me dire bonsoir"", j'etais a la campagne chez mon grand?pere, mort depuis bien des annees ; et mon corps, le côte sur lequel je reposais, gardiens fideles d'un passe que mon esprit n'aurait jamais dû oublier, me rappelaient la flamme de la veilleuse de verre de Bohême, en forme d'urne, suspendue au plafond par des chaînettes, la cheminee en marbre de Sienne, dans ma chambre a coucher de Combray, chez mes grands?parents, en des jours lointains qu'en ce moment je me figurais actuels sans me les representer exactement, et que je reverrais mieux tout a l'heure quand je serais tout a fait eveille.";C2
Je ne savais pas que, bien plus tristement que les petits ecarts de regime de son mari, mon manque de volonte, ma sante delicate, l'incertitude qu'ils projetaient sur mon avenir, preoccupaient ma grand'mere au cours de ces deambulations incessantes de l'apres?midi et du soir, ou on voyait passer et repasser, obliquement leve vers le ciel, son beau visage aux joues brunes et sillonnees, devenues au retour de l'age presque mauves comme les labours a l'automne, barrees, si elle sortait, par une voilette a demi relevee, et sur lesquelles, amene la par le froid ou quelque triste pensee, etait toujours en train de secher un pleur involontaire.;C2
"Mais on savait bien que cela ne pouvait être que M. Swann ; ma grand'tante parlant a haute voix, pour prêcher d'exemple, sur un ton qu'elle s'efforcait de rendre naturel, disait de ne pas chuchoter ainsi ; que rien n'est plus desobligeant pour une personne qui arrive et a qui cela fait croire qu'on est en train de dire des choses qu'elle ne doit pas entendre ; et on envoyait en eclaireur ma grand'mere, toujours heureuse d'avoir un pretexte pour faire un tour de jardin de plus, et qui en profitait pour arracher subrepticement au passage quelques tuteurs de rosiers afin de rendre aux roses un peu de naturel, comme une mere qui, pour les faire bouffer, passe la main dans les cheveux de son fils que le coiffeur a trop aplatis.";C2
L'enveloppe corporelle de notre ami en avait ete si bien bourree, ainsi que de quelques souvenirs relatifs a ses parents, que ce Swann?la etait devenu un être complet et vivant, et que j'ai l'impression de quitter une personne pour aller vers une autre qui en est distincte, quand, dans ma memoire, du Swann que j'ai connu plus tard avec exactitude, je passe a ce premier Swann ? a ce premier Swann dans lequel je retrouve les erreurs charmantes de ma jeunesse et qui d'ailleurs ressemble moins a l'autre qu'aux personnes que j'ai connues a la même epoque, comme s'il en etait de notre vie ainsi que d'un musee ou tous les portraits d'un même temps ont un air de famille, une même tonalite ? a ce premier Swann rempli de loisir, parfume par l'odeur du grand marronnier, des paniers de framboises et d'un brin d'estragon.;C2
"Je dînais avant tout le monde et je venais ensuite m'asseoir a table, jusqu'a huit heures ou il etait convenu que je devais monter ; ce baiser precieux et fragile que maman me confiait d'habitude dans mon lit au moment de m'endormir, il me fallait le transporter de la salle a manger dans ma chambre et le garder pendant tout le temps que je me deshabillais, sans que se brisat sa douceur, sans que se repandît et s'evaporat sa vertu volatile, et, justement ces soirs?la ou j'aurais eu besoin de le recevoir avec plus de precaution, il fallait que je le prisse, que je le derobasse brusquement, publiquement, sans même avoir le temps et la liberte d'esprit necessaires pour porter a ce que je faisais cette attention des maniaques qui s'efforcent de ne pas penser a autre chose pendant qu'ils ferment une porte, pour pouvoir, quand l'incertitude maladive leur revient, lui opposer victorieusement le souvenir du moment ou ils l'ont fermee.";C2
"Ce code, si l'on en jugeait par l'entêtement soudain qu'elle mettait a ne pas vouloir faire certaines commissions que nous lui donnions, semblait avoir prevu des complexites sociales et des raffinements mondains tels que rien dans l'entourage de Francoise et dans sa vie de domestique de village n'avait pu les lui suggerer ; et l'on etait oblige de se dire qu'il y avait en elle un passe francais tres ancien, noble et mal compris, comme dans ces cites manufacturieres ou de vieux hôtels temoignent qu'il y eut jadis une vie de cour, et ou les ouvriers d'une usine de produits chimiques travaillent au milieu de delicates sculptures qui representent le miracle de saint Theophile ou les quatre fils Aymon.";C2
"C'est ainsi que, pendant longtemps, quand, reveille la nuit, je me ressouvenais de Combray, je n'en revis jamais que cette sorte de pan lumineux, decoupe au milieu d'indistinctes tenebres, pareil a ceux que l'embrasement d'un feu de Bengale ou quelque projection electrique eclairent et sectionnent dans un edifice dont les autres parties restent plongees dans la nuit : a la base assez large, le petit salon, la salle a manger, l'amorce de l'allee obscure par ou arriverait M. Swann, l'auteur inconscient de mes tristesses, le vestibule ou je m'acheminais vers la premiere marche de l'escalier, si cruel a monter, qui constituait a lui seul le tronc fort etroit de cette pyramide irreguliere ; et, au faîte, ma chambre a coucher avec le petit couloir a porte vitree pour l'entree de maman ; en un mot, toujours vu a la même heure, isole de tout ce qu'il pouvait y avoir autour, se detachant seul sur l'obscurite, le decor strictement necessaire (comme celui qu'on voit indique en tête des vieilles pieces pour les representations en province) au drame de mon deshabillage ; comme si Combray n'avait consiste qu'en deux etages relies par un mince escalier et comme s'il n'y avait jamais ete que sept heures du soir.";C2
"C'etaient de ces chambres de province qui ? de même qu'en certains pays des parties entieres de l'air ou de la mer sont illuminees ou parfumees par des myriades de protozoaires que nous ne voyons pas ? nous enchantent des mille odeurs qu'y degagent les vertus, la sagesse, les habitudes, toute une vie secrete, invisible, surabondante et morale que l'atmosphere y tient en suspens ; odeurs naturelles encore, certes, et couleur du temps comme celles de la campagne voisine, mais deja casanieres, humaines et renfermees, gelee exquise, industrieuse et limpide de tous les fruits de l'annee qui ont quitte le verger pour l'armoire ; saisonnieres, mais mobilieres et domestiques, corrigeant le piquant de la gelee blanche par la douceur du pain chaud, oisives et ponctuelles comme une horloge de village, flaneuses et rangees, insoucieuses et prevoyantes, lingeres, matinales, devotes, heureuses d'une paix qui n'apporte qu'un surcroît d'anxiete et d'un prosaïsme qui sert de grand reservoir de poesie a celui qui les traverse sans y avoir vecu.";C2
"Elle ne parlait jamais qu'assez bas parce qu'elle croyait avoir dans la tête quelque chose de casse et de flottant qu'elle eût deplace en parlant trop fort, mais elle ne restait jamais longtemps, même seule, sans dire quelque chose, parce qu'elle croyait que c'etait salutaire pour sa gorge et qu'en empêchant le sang de s'y arrêter, cela rendrait moins frequents les etouffements et les angoisses dont elle souffrait ; puis, dans l'inertie absolue ou elle vivait, elle prêtait a ses moindres sensations une importance extraordinaire ; elle les douait d'une motilite qui lui rendait difficile de les garder pour elle, et a defaut de confident a qui les communiquer, elle se les annoncait a elle?même, en un perpetuel monologue qui etait sa seule forme d'activite.";C2
"Il y en avait un qui etait un haut compartiment divise en une centaine de petits vitraux rectangulaires ou dominait le bleu, comme un grand jeu de cartes pareil a ceux qui devaient distraire le roi Charles vi ; mais soit qu'un rayon eût brille, soit que mon regard en bougeant eût promene a travers la verriere, tour a tour eteinte et rallumee, un mouvant et precieux incendie, l'instant d'apres elle avait pris l'eclat changeant d'une traîne de paon, puis elle tremblait et ondulait en une pluie flamboyante et fantastique qui degouttait du haut de la voûte sombre et rocheuse, le long des parois humides, comme si c'etait dans la nef de quelque grotte irisee de sinueuses stalactites que je suivais mes parents, qui portaient leur paroissien ; un instant apres les petits vitraux en losange avaient pris la transparence profonde, l'infrangible durete de saphirs qui eussent ete juxtaposes sur quelque immense pectoral, mais derriere lesquels on sentait plus aime que toutes ces richesses, un sourire momentane de soleil ; il etait aussi reconnaissable dans le flot bleu et doux dont il baignait les pierreries que sur le pave de la place ou la paille du marche ; et, même a nos premiers dimanches quand nous etions arrives avant paques, il me consolait que la terre fût encore nue et noire, en faisant epanouir, comme en un printemps historique et qui datait des successeurs de saint Louis, ce tapis eblouissant et dore de myosotis en verre.";C2
"Et dans cette ville inerte, cette foule criarde si etonnamment passee a côte de son cri comme cette ville a côte de son mouvement, de son sens, sans inquietude, a côte de son vrai cri, le seul qu'on eût voulu l'entendre crier parce qu'on le sent sien lui seul ; parce qu'on le sent habiter en elle dans quelque refuge profond d'ombre et d'orgueil, dans cette ville inerte, cette foule a côte de son cri de faim, de misere, de revolte, de haine, cette foule si etrangement bavarde et muette.";C2
Au bout du petit matin, l'echouage heteroclite, les puanteurs exacerbees de la corruption, les sodomies monstrueuses de l'hostie et du victimaire, les coltis infranchissables du prejuge et de la sottise, les prostitutions, les hypocrisies, les lubricites, les trahisons, les mensonges, les faux, les concussions --- l'essoufflement des lachetes insuffisantes, l'enthousiasme sans ahan aux poussis surnumeraires, les avidites, les hysteries, les perversions, les arlequinades de la misere, les estropiements, les prurits, les urticaires, les hamacs tiedes de la degenerescence. Ici la parade des risibles et scrofuleux bubons, les poutures de microbes tres etranges, le poisons sans alexitere connu, les sanies de plaies bien antiques, les fermentations imprevisibles d'especes putrescibles.;C2
"Et cette joie ancienne m'apportant la connaissance de ma presente misere, une route bossuee qui pique une tête dans un creux ou elle eparpille quelque cases ; une route infatigable qui charge a fond de train un morne en haut duquel elle s'enlise brutalement dans une mare de maisons pataudes, une route follement montant, temerairement descendante, et la carcasse de bois comiquement juchee sur de minuscules pattes de ciment que j'appelle « notre maison », sa coiffure de tôle ondulant au soleil comme un peau qui seche, la salle a manger, le plancher grossier ou luisent de têtes de clous, les solives de sapin et d'ombre qui courent au plafond, les chaises de paille fantomales, la lumiere grise de la lampe, celle vernissee et rapide des cancrelats qui bourdonne a faire mal ...";C2
"Au bout du petit matin, une autre petite maison qui sent tres mauvais dans une rue tres etroite, une maison minuscule qui abrite en ses entrailles de bois pourri de dizaines de rats et la turbulence de mes six freres et soeurs, une petite maison cruelle dont la intransigeance affole nos fin de mois et mon pere fantasque grignote d'une seule misere, je n'ai jamais su laquelle, qu'une imprevisible sorcellerie assoupit en melancolique tendresse ou exalte en haut flammes de colere ; et ma mere dont les jambes pour notre faim inlassable pedalent, pedalent de jour, de nuit, je suis même reveille la nuit par ces jambes inlassables qui pedalent la nuit et la morsure apre dans la chair molle de la nuit d'une Singer et que ma mere pedale, pedale pour notre faim et de jour et de nuit.";C2
